Abbreviation	Name	Reaction	Reactions with MetNames	GPR	Genes	Protein	Subsystems	KEGGSubsys	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC. Number	Notes	References
rxn00293	UDP-N-acetylglucosamine diphosphorylase	cpd00062[c] + cpd02611[c]  <=> cpd00012[c] + cpd00037[c] 	UTP + N-Acetyl-D-glucosamine1-phosphate  <=> PPi + UDP-N-acetylglucosamine 	PA5552	PA5552		Cell Envelope Biosynthesis	Amino sugar and nucleotide sugar metabolism	1	-1000	1000	0		2.7.7.23	*JAB 02/18/14 - involved in peptidoglycan synthesis, essentiality is likely due to biomass formulation (and function is important even though gene is not indicated essential?)	
rxn03408	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	cpd00037[c] + cpd03494[c]  <=> cpd00014[c] + cpd03495[c] 	UDP-N-acetylglucosamine + Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine  <=> UDP + Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala 	PA4412	PA4412		Cell Envelope Biosynthesis	Peptidoglycan biosynthesis	1	-1000	1000	0		2.4.1.227		
rxn02008	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	cpd00002[c] + cpd00186[c] + cpd00890[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00525[c] 	ATP + D-Glutamate + UDP-N-acetylmuramoyl-L-alanine  -> H+ + ADP + Phosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate 	PA4414	PA4414		Cell Envelope Biosynthesis	Peptidoglycan biosynthesis	0	0	1000	0		6.3.2.9	*JAB 02/18/14 - involved in peptidoglycan synthesis, essentiality is likely due to biomass formulation (and function is important even though gene is not indicated essential?)	
rxn02286	UDP-N-acetylmuramoyl-L-alanine synthetase	cpd00035[c] + cpd00002[c] + cpd00773[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00890[c] 	L-Alanine + ATP + UDP-MurNAc  -> H+ + ADP + Phosphate + UDP-N-acetylmuramoyl-L-alanine 	PA4411	PA4411		Cell Envelope Biosynthesis	D-Glutamine and D-glutamate metabolism	0	0	1000	0		6.3.2.8		
rxn02285	UDP-N-acetylenolpyruvoylglucosamine reductase	cpd00006[c] + cpd00773[c]  <=> cpd00067[c] + cpd00005[c] + cpd02820[c] 	NADP + UDP-MurNAc  <=> H+ + NADPH + UDP-N-acetylglucosamine enolpyruvate 	PA2977	PA2977		Cell Envelope Biosynthesis	Amino sugar and nucleotide sugar metabolism	1	-1000	1000	0		1.1.1.158		
rxn03901	undecaprenyl-diphosphatase	cpd00001[c] + cpd02229[c]  -> cpd00067[c] + cpd00009[c] + cpd00286[c] 	H2O + Bactoprenyl diphosphate  -> H+ + Phosphate + Undecaprenylphosphate 	PA1959	PA1959			Peptidoglycan biosynthesis	0	0	1000	0		3.6.1.27	*JAB 02/18/14 - involved in peptidoglycan synthesis, essentiality is likely due to biomass formulation (and function is important even though gene is not indicated essential?)	
rxn03900	undecaprenol kinase	cpd00002[c] + cpd01352[c]  <=> cpd00008[c] + cpd00286[c] 	ATP + Undecaprenol  <=> ADP + Undecaprenylphosphate 	PA1959	PA1959		Cell Envelope Biosynthesis		1	-1000	1000	0				
rxn05030	undecaprenyl-diphosphate synthase	cpd00113[c] + cpd02746[c]  -> cpd00012[c] + cpd02229[c] 	Isopentenyldiphosphate + all trans Decaprenyl diphosphate  -> PPi + Bactoprenyl diphosphate 	PA3652	PA3652			Terpenoid backbone biosynthesis	0	0	1000	0			*ASB 03/24/14 - could not find exact reaction match in KEGG but found similar ones	
rxn00214	UDPglucose 4-epimerase	cpd00026[c]  <=> cpd00043[c] 	UDP-glucose  <=> UDP-galactose 	(PA3141 or PA1384 or PA3146 or PA4068)	PA3141 PA1384 PA3146 PA4068		Alternate Carbon Metabolism	Galactose metabolism	1	-1000	1000	0		5.1.3.2		
rxn00211	UDPglucose 6-dehydrogenase	cpd00001[c] + 2 cpd00003[c] + cpd00026[c]  <=> 2 cpd00004[c] + 3 cpd00067[c] + cpd00144[c] 	H2O + 2 NAD + UDP-glucose  <=> 2 NADH + 3 H+ + UDPglucuronate 	(PA3559 or PA2022 or PA3540)	PA3559 PA2022 PA3540		colanic acid synthesis	Starch and sucrose metabolism	1	-1000	1000	0		1.1.1.22		
rxn00701	UDPglucose--hexose-1-phosphate uridylyltransferase	cpd00026[c] + cpd00348[c]  <=> cpd00089[c] + cpd00043[c] 	UDP-glucose + D-Galactose 1-phosphate  <=> Glucose-1-phosphate + UDP-galactose 	PA2023	PA2023			Galactose metabolism	1	-1000	1000	0		2.7.7.12		
rxn00327	Ureidoglycolate hydrolase	cpd00001[c] + 2 cpd00067[c] + cpd00465[c]  -> 2 cpd00013[c] + cpd00011[c] + cpd00040[c] 	H2O + 2 H+ + Ureidoglycolate  -> 2 NH3 + CO2 + Glyoxalate 	PA1514	PA1514			Purine metabolism	0	0	1000	0		3.5.3.19		
rxn00119	UMP kinase	cpd00002[c] + cpd00091[c]  <=> cpd00008[c] + cpd00014[c] 	ATP + UMP  <=> ADP + UDP 	PA3654	PA3654		Salvage Pathways	Pyrimidine metabolism	1	-1000	1000	0		2.7.4.4,2.7.4.14,2.7.4.22,2.7.4.-		
rxn13915	2-keto-4-methylthiobutyrate transamination	cpd00869[c] + cpd00066[c]  <=> cpd00060[c] + cpd17048[c] 	4-methylthio 2-oxobutyrate + L-Phenylalanine  <=> L-Methionine + 2-oxo-3-p-tolylpropanate 	PA3139	PA3139				1	-1000	1000	0				
rxn13916	2-keto-4-methylthiobutyrate transamination	cpd00869[c] + cpd00069[c]  <=> cpd00060[c] + cpd17079[c] 	4-methylthio 2-oxobutyrate + L-Tyrosine  <=> L-Methionine + 3-(4-hydroxyphenyl)-2-oxopropanoate 	PA3139	PA3139				1	-1000	1000	0				
rxn13917	2-keto-4-methylthiobutyrate transamination	cpd00053[c] + cpd00869[c]  <=> cpd00060[c] + cpd17052[c] 	L-Glutamine + 4-methylthio 2-oxobutyrate  <=> L-Methionine + 4-carbamoyl-2-oxobutanate 	PA3139	PA3139			Cysteine and methionine metabolism	1	-1000	1000	0		2.6.1.5, 2.6.1.57	*ASB 03/24/14 - Change L-Glutamine to L-Glutamate?	
rxn02287	uroporphyrinogen methyltransferase	2 cpd00017[c] + cpd00774[c]  <=> 2 cpd00067[c] + 2 cpd00019[c] + cpd01620[c] 	2 S-Adenosyl-L-methionine + UroporphyrinogenIII  <=> 2 H+ + 2 S-Adenosyl-homocysteine + Precorrin 2 	(PA0510 or PA1778 or PA5258 or PA2611)	PA0510 PA1778 PA5258 PA2611		Tetrapyrrole Biosynthesis	Porphyrin and chlorophyll metabolism	1	-1000	1000	0		2.1.1.107		
rxn02264	uroporphyrinogen-III synthase	cpd00755[c]  <=> cpd00001[c] + cpd00774[c] 	Hydroxymethylbilane  <=> H2O + UroporphyrinogenIII 	PA5259	PA5259		Tetrapyrrole Biosynthesis	Porphyrin and chlorophyll metabolism	1	-1000	1000	0		4.2.1.75		
Hello world!
rxn02288	uroporphyrinogen decarboxylase (uroporphyrinogen III)	4 cpd00067[c] + cpd00774[c]  <=> 4 cpd00011[c] + cpd02083[c] 	4 H+ + UroporphyrinogenIII  <=> 4 CO2 + CoproporphyrinogenIII 	PA5034	PA5034		Tetrapyrrole Biosynthesis	Porphyrin and chlorophyll metabolism	1	-1000	1000	0		4.1.1.37		
rxn00711	uracil phosphoribosyltransferase	cpd00103[c] + cpd00092[c] -> cpd00012[c] + cpd00091[c]	PRPP + Uracil -> PPi + UMP	(PA4646 or PA0403)	PA4646 PA0403		Salvage Pathways	Pyrimidine metabolism	0	0	1000	0		2.4.2.9	*JAB 01/31/14 - switched reaction directionality syntax, function still matches SEED/MetaCyc	
rxn05197	uracil transport in/out via proton symport	cpd00067[e] + cpd00092[e]  <=> cpd00067[c] + cpd00092[c] 	H+ + Uracil  <=> H+ + Uracil 	(PA1507 or PA2938 or PA0443 or PA0438 or PA0476 or PA1419 or PA2073 or PA5099 or PA1519 or PA4647 or PA0166 or PA0352 or PA4719)	PA1507 PA2938 PA0443 PA0438 PA0476 PA1419 PA2073 PA5099 PA1519 PA4647 PA0166 PA0352 PA4719		Transport Extracellular	Transport	1	-1000	1000	0		TC-2.A.40,2.A.40	*JAB 01/13/14 - added PA4719	
rxn02085	urocanase	cpd02311[c]  <=> cpd00001[c] + cpd00581[c] 	4-Imidazolone-5-propanoate  <=> H2O + Urocanate 	PA5100	PA5100			Histidine metabolism	1	-1000	1000	0		4.2.1.49		
rxn00101	urease	cpd00001[c] + 2 cpd00067[c] + cpd00073[c]  -> 2 cpd00013[c] + cpd00011[c] 	H2O + 2 H+ + Urea  -> 2 NH3 + CO2 	(PA4868 or (PA4865 and PA4867))	PA4868 PA4865 PA4867		Arginine Putriscine and Spermidine Metabolism	Urea cycle and metabolism of amino groups	0	0	1000	0		3.5.1.5		
rxn09653	urea reversible transport via proton symport (2 H+)	2 cpd00067[e] + cpd00073[e]  <=> 2 cpd00067[c] + cpd00073[c] 	2 H+ + Urea  <=> 2 H+ + Urea 	PA1497	PA1497		Transport Extracellular	Transport	1	-1000	1000	0				
rxn09370	uricase	2 cpd00001[c] + cpd00007[c] + cpd00300[c]  -> cpd00025[c] + cpd00011[c] + cpd01092[c] 	2 H2O + O2 + Urate  -> H2O2 + CO2 + Allantoin 	PA2366	PA2366			Purine metabolism	0	0	1000	0		1.7.3.3	*ASB 03/24/14 - This is a multistep reaction, part of which is spontaneous. How to determine EC number?	
rxn01517	uridylate kinase (dUMP)	cpd00002[c] + cpd00299[c]  <=> cpd00008[c] + cpd00978[c] 	ATP + dUMP  <=> ADP + dUDP 	PA3654	PA3654		Salvage Pathways	Pyrimidine metabolism	1	-1000	1000	0		2.7.4.4,2.7.4.9		
rxn01045	valine dehydrogenase	cpd00001[c] + cpd00003[c] + cpd00156[c]  <=> cpd00013[c] + cpd00004[c] + cpd00067[c] + cpd00123[c] 	H2O + NAD + L-Valine  <=> NH3 + NADH + H+ + 3-Methyl-2-oxobutanoate 	PA3418	PA3418		Branched Chain Amino Acid Biosynthesis		1	-1000	1000	0				
rxn00903	valine transaminase	cpd00024[c] + cpd00156[c]  <=> cpd00023[c] + cpd00123[c] 	2-Oxoglutarate + L-Valine  <=> L-Glutamate + 3-Methyl-2-oxobutanoate 	PA5013	PA5013			Valine, leucine and isoleucine degradation	1	-1000	1000	0		2.6.1.42,2.6.1.6		
rxn05168	L-valine transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00156[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00156[c] 	H2O + ATP + L-Valine  -> H+ + ADP + Phosphate + L-Valine 	((PA1074 and PA1073 and PA1072 and PA1071 and PA1070) or (PA4909 and PA4910 and PA4912 and PA4913 and PA4911))	PA1074 PA1073 PA1072 PA1071 PA1070 PA4909 PA4910 PA4912 PA4913 PA4911			Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - removed urea transport operon	
rxn05242	L-valine transport in via proton symport	cpd00971[e] + cpd00156[e]  <=> cpd00971[c] + cpd00156[c] 	Na+ + L-Valine  <=> Na+ + L-Valine 	PA1590	PA1590			Transport	1	-1000	1000	0				
rxn01297	xanthine dehydrogenase	cpd00001[c] + cpd00003[c] + cpd00226[c]  <=> cpd00004[c] + cpd00067[c] + cpd00309[c] 	H2O + NAD + HYXN  <=> NADH + H+ + XAN 	(PA1523 or PA1524)	PA1523 PA1524			Purine metabolism	1	-1000	1000	0		1.17.1.4,1.1.1.204		
rxn01522	xanthine dehydrogenase	cpd00001[c] + cpd00003[c] + cpd00309[c]  -> cpd00004[c] + cpd00067[c] + cpd00300[c] 	H2O + NAD + XAN  -> NADH + H+ + Urate 	(PA1524 or PA1523)	PA1524 PA1523			Purine metabolism	0	0	1000	0		1.17.1.4,1.1.1.204		
rxn05202	xanthine transport in via proton symport	cpd00067[e] + cpd00309[e]  <=> cpd00067[c] + cpd00309[c] 	H+ + XAN  <=> H+ + XAN 	(PA0438 or PA0476 or PA5099 or PA1519 or PA1419 or PA0166 or PA0352 or PA2938 or PA0443 or PA2073 or PA4647 or PA1507 or PA4719)	PA0438 PA0476 PA5099 PA1519 PA1419 PA0166 PA0352 PA2938 PA0443 PA2073 PA4647 PA1507 PA4719			Transport	1	-1000	1000	0		TC-2.A.40,2.A.40	*JAB 01/13/14 - added PA4719	
rxn01199	xylulokinase	cpd00002[c] + cpd00259[c]  <=> cpd00008[c] + cpd00198[c] 	ATP + D-Lyxulose  <=> ADP + D-Xylulose5-phosphate 	(PA3024 or PA2343)	PA3024 PA2343		Alternate Carbon Metabolism	Pentose and glucuronate interconversions	1	-1000	1000	0		2.7.1.17		
rxn05167	D-xylose transport via ABC system	cpd00001[c] + cpd00002[c] + cpd00154[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00154[c] 	H2O + ATP + Xylose  -> H+ + ADP + Phosphate + Xylose 	(PA1948 and PA1947 and PA1946)	PA1948 PA1947 PA1946		Transport Extracellular	Transport	0	0	1000	0		Undetermined	*JAB 01/13/14 - added additional operon genes	
rxn00776	yUMP synthetase	cpd00101[c] + cpd00092[c]  -> cpd00001[c] + cpd00859[c] 	ribose-5-phosphate + Uracil  -> H2O + Pseudouridine 5'-phosphate 	(PA4742 or PA2975 or PA3246 or PA3114 or PA4544)	PA4742 PA2975 PA3246 PA3114 PA4544			Pyrimidine metabolism	0	0	1000	0		4.2.1.70		
rxn13918	zinc transport out via ABC system	cpd00001[c] + cpd00002[c] + cpd00034[c]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00034[e] 	H2O + ATP + Zn2+  -> H+ + ADP + Phosphate + Zn2+ 	(PA5498 and PA5501 and PA5500)	PA5498 PA5501 PA5500			Transport	0	0	1000	0				
rxn05150	zinc transport in via ABC system	cpd00001[c] + cpd00002[c] + cpd00034[e]  -> cpd00067[c] + cpd00008[c] + cpd00009[c] + cpd00034[c] 	H2O + ATP + Zn2+  -> H+ + ADP + Phosphate + Zn2+ 	(PA5498 and PA5501 and PA5500)	PA5498 PA5501 PA5500			Transport	0	0	1000	0		TC-3.A.1.15,3.A.1.15		
rxn13919	zinc transport out via antiport	cpd00067[e] + cpd00034[c]  <=> cpd00067[c] + cpd00034[e] 	H+ + Zn2+  <=> H+ + Zn2+ 	(PA2520 and PA2521 and PA2522)	PA2520 PA2521 PA2522			Transport	1	-1000	1000	0				
rxn05495	beta-Alanine transport in via proton symport	cpd00067[e] + cpd00085[e]  <=> cpd00067[c] + cpd00085[c] 	H+ + beta-Alanine  <=> H+ + beta-Alanine 		 		Exchange	Exchange	1	-1000	1000	0				
rxn05332	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein] hydro-lyase	cpd11481[c]  <=> cpd00001[c] + cpd11477[c] 	R-3-hydroxypalmitoyl-acyl-carrierprotein-  <=> H2O + (2E)-Hexadecenoyl-[acp] 	(PA3645)	PA3645		Fatty Acid Biosynthesis FASII	Fatty acid biosynthesis	1	-1000	1000	0		2.3.1.85,2.3.1.86,4.2.1.61	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally BCAL2080	
rxn05349	acetyl-CoA[acyl-carrier-protein] S-acetyltransferase	cpd11493[c] + cpd00022[c]  <=> cpd00010[c] + cpd11494[c] 	ACP + Acetyl-CoA  <=> CoA + Acetyl-ACP 	((PA3333 and PA1373) or (PA2965 and PA3333))	PA3333 PA1373 PA2965 PA3333		Fatty Acid Biosynthesis FASII	Fatty acid biosynthesis	1	-1000	1000	0		2.3.1.179,2.3.1.180,2.3.1.38,2.3.1.41,2.3.1.85,2.3.1.86	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally from iPY1537: PA3333 < BCAL0992 (1e-55),PA2965 < BCAL0996 (1e-128), PA1373 < BCAL2874 and BCAL2878))	
rxn05351	Tetradecanoyl-[acyl-carrier protein]malonyl-CoA	cpd00006[c] + cpd11466[c]  -> cpd00067[c] + cpd00005[c] + cpd11467[c] 	NADP + Myristoyl-ACP  -> H+ + NADPH + (2E)-Tetradecenoyl-[acp] 	PA1470	PA1470		Fatty_Acid_Biosynthesis_FASII	Fatty acid biosynthesis	0	-1000	0	0		1.3.1.10,2.3.1.85	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2689 - 1e-62) or (BCAL1425 - no match >1e-30)	
rxn05352	Octanoyl-[acyl-carrier protein]malonyl-CoA	cpd00006[c] + cpd11470[c]  -> cpd00067[c] + cpd00005[c] + cpd11471[c] 	NADP + Octanoyl-ACP  -> H+ + NADPH + (2E)-Octenoyl-[acp] 	PA1470	PA1470		Fatty_Acid_Biosynthesis_FASII	Fatty acid biosynthesis	0	-1000	0	0		1.3.1.10,2.3.1.85	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2689 - 1e-62) or (BCAL1425 - no match >1e-30)	
rxn05353	Butyryl-[acyl-carrier protein]malonyl-CoA	cpd00006[c] + cpd11464[c]  -> cpd00067[c] + cpd00005[c] + cpd11465[c] 	NADP + Butyryl-ACP  -> H+ + NADPH + But-2-enoyl-[acyl-carrier protein] 	PA1470	PA1470		Fatty_Acid_Biosynthesis_FASII	Fatty acid biosynthesis	0	-1000	0	0		1.3.1.10	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2689 - 1e-62) or (BCAL1425 - no match >1e-30)	
rxn05354	Hexadecanoyl-[acyl-carrier proteinmalonyl-CoA	cpd00006[c] + cpd11476[c]  -> cpd00067[c] + cpd00005[c] + cpd11477[c] 	NADP + hexadecanoyl-acp  -> H+ + NADPH + (2E)-Hexadecenoyl-[acp] 	PA1470	PA1470		Fatty_Acid_Biosynthesis_FASII	Fatty acid biosynthesis	0	-1000	0	0		1.3.1.10,2.3.1.85	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2689 - 1e-62) or (BCAL1425 - no match >1e-30)	
rxn05355	Dodecanoyl-[acyl-carrier protein] malonyl-CoA	cpd00006[c] + cpd11468[c]  -> cpd00067[c] + cpd00005[c] + cpd11469[c] 	NADP + Dodecanoyl-ACP  -> H+ + NADPH + (2E)-Dodecenoyl-[acp] 	PA1470	PA1470		Fatty_Acid_Biosynthesis_FASII	Fatty acid biosynthesis	0	-1000	0	0		1.3.1.10,2.3.1.85	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2689 - 1e-62) or (BCAL1425 - no match >1e-30)	
rxn05356	Decanoyl-[acyl-carrier protein]malonyl-CoA	cpd00006[c] + cpd11474[c]  -> cpd00067[c] + cpd00005[c] + cpd11475[c] 	NADP + Decanoyl-ACP  -> H+ + NADPH + (2E)-Decenoyl-[acp] 	PA1470	PA1470		Fatty_Acid_Biosynthesis_FASII	Fatty acid biosynthesis	0	-1000	0	0		1.3.1.10,2.3.1.85	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2689 - 1e-62) or (BCAL1425 - no match >1e-30)	
rxn05357	Hexanoyl-[acyl-carrier protein]oxoacyl- and enoyl-reducing and	cpd00006[c] + cpd11472[c]  -> cpd00067[c] + cpd00005[c] + cpd11473[c] 	NADP + Hexanoyl-ACP  -> H+ + NADPH + (2E)-Hexenoyl-[acp] 	PA1470	PA1470		Fatty_Acid_Biosynthesis_FASII	Fatty acid biosynthesis	0	-1000	0	0		1.3.1.10,2.3.1.85	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2689 - 1e-62) or (BCAL1425 - no match >1e-30)	
rxn08309	CDP-diacylglycerol synthetase (n-C160)	cpd00052[c] + cpd15524[c]  <=> cpd00012[c] + cpd15419[c] 	CTP + 1,2-dihexadecanoyl-sn-glycerol_3-phosphate  <=> PPi + CDP-1,2-dihexadecanoylglycerol 	(PA3651)	PA3651		Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerolipid metabolism	1	-1000	1000	0		2.7.7.41	*ASB 02/18/15 - PA2536 was removed from the GPR. PA2536 is a probable gene but may not be functional. PA3651 is essential in vitro. For these reasons, we removed PA2536 from the GPR // JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally ((BCAL2086 - 3e-24, but annotated as cdsA) or (BCAL1383 - 8e-79))	
rxn09200	Phosphatidylserine decarboxylase (n-C160)	2 cpd00067[c] + cpd15555[c]  <=> cpd00011[c] + cpd15531[c] 	2 H+ + phosphatidylserine_dihexadecanoyl  <=> CO2 + phosphatidylethanolamine_dihexadecanoyl 	PA4957	PA4957		Glycerolipid and Glycerophospholipid Metabolism in Bacteria|Bacterial cyanide production and tolerance mechanisms	Glycerophospholipid metabolism	1	-1000	1000	0		4.1.1.65	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2356 - 0.002, but annotated as psd)	
rxn09208	Phosphatidylserine syntase (n-C160)	cpd00054[c] + cpd15419[c]  -> cpd00067[c] + cpd00046[c] + cpd15555[c] 	L-Serine + CDP-1,2-dihexadecanoylglycerol  -> H+ + CMP + phosphatidylserine_dihexadecanoyl 	PA4693	PA4693		Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerophospholipid metabolism	0	0	1000	0		2.7.8.8	*JAB 12/12/13 - req. for cpd15531[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally (BCAL2355 - 3e-58)	
rxn08087	1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C161)	cpd15239[c] + cpd15326[c]  -> cpd11493[c] + cpd15525[c] 	Hexadecenoyl-ACP + 1-hexadec-9-enoyl-sn-glycerol_3-phosphate  -> ACP + 1,2-dihexadec-9-enoyl-sn-glycerol_3-phosphate 	((PA0005) or (PA4351) or (PA2537))	PA0005 PA4351 PA2537		Phosphate metabolism|Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerolipid metabolism	0	0	1000	0		2.3.1.51	*JAB 12/12/13 - req. for cpd15532[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally ((BCAL0901 - 1e-56) or (BCAL3137 - 9e-30) or (BCAL1384 - 3e-38))	
rxn08310	CDP-diacylglycerol synthetase (n-C161)	cpd00052[c] + cpd15525[c]  <=> cpd00012[c] + cpd15418[c] 	CTP + 1,2-dihexadec-9-enoyl-sn-glycerol_3-phosphate  <=> PPi + CDP-1,2-dihexadec-9-enoylglycerol 	((PA3651) or (PA2536))	PA3651 PA2536		Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerolipid metabolism	1	-1000	1000	0		2.7.7.41	*JAB 12/12/13 - req. for cpd15532[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally ((BCAL2086 - 3e-24, annotated as cdsA) or (BCAL1383 - 8e-79))	
rxn08550	glycerol-3-phosphate acyltransferase (C161)	cpd00080[c] + cpd15239[c]  -> cpd11493[c] + cpd15326[c] 	Glycerol-3-phosphate + Hexadecenoyl-ACP  -> ACP + 1-hexadec-9-enoyl-sn-glycerol_3-phosphate 	(PA0581 and PA2969)	PA0581 PA2969		Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerolipid metabolism	0	0	1000	0		2.3.1.15	*JAB 12/12/13 - req. for cpd15532[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally ((BCAL2770 - 3e-22, PlsY and BCAL2879 - 3e-71, PlsX) or (BCAL0991 - 3e-71, PlsX and BCAL2770 - 3e-22, PlsY))	
rxn09201	Phosphatidylserine decarboxylase (n-C161)	2 cpd00067[c] + cpd15556[c]  <=> cpd00011[c] + cpd15532[c] 	2 H+ + phosphatidylserine_dihexadec-9-enoyl  <=> CO2 + phosphatidylethanolamine_dihexadec-9enoyl 	PA4957	PA4957		Glycerolipid and Glycerophospholipid Metabolism in Bacteria|Bacterial cyanide production and tolerance mechanisms	Glycerophospholipid metabolism	1	-1000	1000	0		4.1.1.65	*JAB 12/12/13 - req. for cpd15532[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally BCAL2356	
rxn09209	Phosphatidylserine syntase (n-C161)	cpd00054[c] + cpd15418[c]  -> cpd00067[c] + cpd00046[c] + cpd15556[c] 	L-Serine + CDP-1,2-dihexadec-9-enoylglycerol  -> H+ + CMP + phosphatidylserine_dihexadec-9-enoyl 	PA4693	PA4693		Glycerolipid and Glycerophospholipid Metabolism in Bacteria	Glycerophospholipid metabolism	0	0	1000	0		2.7.8.8	*JAB 12/12/13 - req. for cpd15532[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, originally BCAL2355	
rxn08398	enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1)	cpd00004[c] + cpd00067[c] + cpd15568[c]  -> cpd00003[c] + cpd11825[c] 	NADH + H+ + trans-3-cis-11-vacceoyl-[acyl-carrier protein]  -> NAD + Octadecenoyl-ACP 	(PA1828) or (PA1649)	PA1828 PA1649		Fatty acid biosynthesis		0	0	1000	0			*JAB 12/13/13 - req. for cpd15534[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, switched rPY00155 for rxn08398, originally (BCAM0140 - 9e-99) or (BCAM1608 - 7e-35)	
rxn07980	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	cpd15370[c]  <=> cpd00001[c] + cpd15568[c] 	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]  <=> H2O + trans-3-cis-11-vacceoyl-[acyl-carrier protein] 	(PA3645)	PA3645		Fatty acid biosynthesis		1	-1000	1000	0			*JAB 12/13/13 - req. for cpd15534[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, switched rPY00156 for rxn07980, originally BCAL2080 - 4e-28	
rxn07993	3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	cpd00067[c] + cpd00005[c] + cpd15376[c]  <=> cpd00006[c] + cpd15370[c] 	H+ + NADPH + 3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]  <=> NADP + (R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein] 	(PA2967) or (PA1344) or (PA1649) or (PA1470) or (PA1827) or (PA4089)	PA2967 PA1344 PA1649 PA1470 PA1827 PA4089		Fatty acid biosynthesis		1	-1000	1000	0			*JAB 12/13/13 - req. for cpd15534[c] synthesis, direct translation from Burk for lipid pathway GPRs, needs curation based on literature, switched rPY00157 for rxn07993, originally (BCAL0846 - PA2967, 1e-35, fabG) or (BCAL0994 - PA2967, 2e-75, fabG) or (BCAL1151 - PA4089, 1e-29, not included) or (BCAL1425 - PA2142, 5e-28, not included) or (BCAL2386 - PA1344, 4e-31) or (BCAL2624 - PA1649, 5e-34) or (BCAL2689 - PA1470, 1e-62) or (BCAM0640 - PA2967, 3e-24) or (BCAM1625 - PA1649, 4e-19) or (BCAM1949 - PA1827, 9e-65) or (BCAM2001 - PA4089, 4e-62, 3-ketoacyl-ACP reductase) or (BCAM2283 - PA5521, 1e-22, not included)	
